Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,725.0,60.0,0.376,37.6,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 725C 60s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|725.0|60.0|0.376|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,725.0,120.0,0.312,31.2,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 725C 120s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|725.0|120.0|0.312|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,750.0,30.0,0.38,38.0,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 750C 30s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|750.0|30.0|0.38|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,750.0,60.0,0.34,34.0,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 750C 60s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|750.0|60.0|0.34|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,750.0,120.0,0.237,23.7,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 750C 120s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|750.0|120.0|0.237|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,775.0,30.0,0.345,34.5,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 775C 30s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|775.0|30.0|0.345|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,775.0,60.0,0.276,27.6,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 775C 60s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|775.0|60.0|0.276|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,775.0,120.0,0.218,21.8,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 775C 120s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|775.0|120.0|0.218|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,800.0,30.0,0.34,34.0,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 800C 30s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|800.0|30.0|0.34|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,800.0,60.0,0.259,25.9,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 800C 60s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|800.0|60.0|0.259|xrd
